Timestamp,Pilih Nama Sekolah ,Peran Anda,Apakah Bapak/Ibu sudah membaca laporan karakter bulan ini secara lengkap?,"Setelah membaca laporan, apa yang Bapak/Ibu lakukan?  (Boleh pilih lebih dari satu)","Dalam skala 1–5, seberapa mudah laporan ini dipahami?", Kelengkapan data yang disajikan dalam laporan,Relevansi indikator karakter dengan kondisi nyata di kelas,Kejelasan rekomendasi tindak lanjut yang diberikan,Ketepatan waktu pengiriman laporan,"Kualitas komunikasi Tim Fammi (responsif, sopan, membantu)",Apa SATU HAL yang paling Bapak/Ibu sukai dari laporan karakter ini? ,Apa satu hal yang ingin Bapak/Ibu lihat diperbaiki atau ditambahkan di laporan bulan depan?
5/5/2026 19:30:54,SMK TELKOM LAMPUNG,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian""",5,5,3,4,5,5,dapat mempermudah memetakan siswa yang perlu di tindak lanjut,
5/5/2026 19:36:15,SMK TELKOM LAMPUNG,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru, Menyesuaikan pendekatan pembelajaran di kelas",5,5,5,5,5,5,Rerata pencapaian nilai karakter tertulis helas di awal dan diikuti penjabaran per poin di bawahnya.,Menurut saya sudah cukup ramah baca
5/5/2026 20:04:07,SMK TELKOM MAKASSAR,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru, Menghubungi orang tua siswa yang perlu perhatian",3,3,3,3,3,3,-,-
5/5/2026 20:27:36,SMK TELKOM LAMPUNG,Guru Mata Pelajaran,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru, Menyesuaikan pendekatan pembelajaran di kelas",5,5,5,5,5,5,"Ini menunjukkan bahwa budaya disiplin, kesiapan, dan tanggung jawab telah tertanam kuat sejak awal masa transisi dari SMP ke SMK — bukan hanya karena aturan, tetapi karena pembiasaan yang sistematis dan didukung oleh lingkungan sekolah yang konsisten. Dengan rata-rata pencapaian karakter seluruh kelas 84%, dan bahkan 5 siswa mencapai ≥90% (termasuk Divka Aurelia dengan 94%), laporan ini bukan sekadar data — tapi bukti nyata bahwa SMK Telkom Lampung berhasil membangun fondasi karakter yang kokoh seiring dengan pengembangan kompetensi teknis.",Peningkatan konkret pada indikator “Inisiatif” — khususnya dalam hal memulai tugas tanpa menunggu perintah berulang
5/5/2026 20:34:30,SMK TELKOM LAMPUNG,Guru Mata Pelajaran,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",5,5,3,4,4,5,Bisa di cerna dan beberapa ada yg sesuai,Rangkuman feedback guru ke ortu atau siswa. Setelah saya pahami kondisi kebutuhan ortu dan siswa berbeda. Ada yg ortunya sangat aktif dan semangat tapi minat belajar anaknya kurang. Butuh perhatian tapi susah untuk fokus sementara kami guru mapel tidak hanya mengajar disatu anak ataupun satu kelas. Untuk sudut pandang yg luas daan banyak cukup struggle klo hanya dr sudut siswa dan ortu
5/5/2026 20:37:35,SMK TELKOM LAMPUNG,Wakasek,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru, Menghubungi orang tua siswa yang perlu perhatian, Menyesuaikan pendekatan pembelajaran di kelas",5,5,5,5,5,5,Bisa mengetahui perkembangan karakter murid by data di setiap bulannya.,-
5/5/2026 20:44:01,SMK TELKOM LAMPUNG,Guru Mata Pelajaran,Ya,"Mendiskusikan data dengan sesama guru, Menyesuaikan pendekatan pembelajaran di kelas",5,5,5,5,5,5,Laporan sangat mudah dibaca dan dipahami,Harapan saya semoga dilaporan bulan depan sudah tidak ada lagi keluhan dari murid karena keluhan mereka sudah dikabulkan ☺
5/5/2026 20:45:29,SMK TELKOM LAMPUNG,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",4,5,5,5,5,5,Cerita hati mereka,-
5/5/2026 20:47:41,SMK TELKOM LAMPUNG,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian""",5,5,3,5,5,5,"Satu hal yang paling saya sukai dari laporan karakter ini adalah karena bisa menunjukkan perkembangan sikap siswa secara menyeluruh, tidak hanya nilai akademik. Dengan begitu, orang tua dan guru jadi lebih mudah memahami perilaku, tanggung jawab, dan kebiasaan siswa sehari-hari, sehingga bisa membimbing mereka dengan lebih tepat.",Sudah cukup.
5/5/2026 20:48:39,SMK TELKOM MAKASSAR,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",5,4,4,4,5,5,Semangat untuk tetap belajar dan keharmonisan kelas dengan mengacu kepada keluargaan,Kemajuan anak2 dan semangat untuk giat belajar.
5/5/2026 22:30:58,SMK TELKOM LAMPUNG,Guru Mata Pelajaran,Sudah Baca Sebagian,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",4,4,4,5,4,5,Jelas,-
5/6/2026 11:13:25,SD TELKOM PADANG,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",3,4,4,3,3,5,Bisa membaca dan menerima keluhkesah org tua,Tidak ada
5/6/2026 12:04:15,SD TELKOM BATAM,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru, Menghubungi orang tua siswa yang perlu perhatian, Menyesuaikan pendekatan pembelajaran di kelas",4,5,5,5,4,5,Menjelaskan karakteristik siswa,-
5/6/2026 12:05:22,SD TELKOM BATAM,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru, Menghubungi orang tua siswa yang perlu perhatian, Menyesuaikan pendekatan pembelajaran di kelas",4,5,5,5,5,5,Ringkas dan mudah dipahami ,-
5/6/2026 12:10:16,SD TELKOM BATAM,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",1,5,5,5,5,5,Laporan karakter ini  memberikan data siswa dari orang tua/wali murid dan juga dari Sekolah sehingga bisa mendapat titik temu yang tepat. ,Melakukan follow up dari laporan karakter yang yang ada
5/6/2026 12:34:45,SD TELKOM BATAM,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian""",4,5,5,5,5,5,feed back dari orang tua,belum ada
5/6/2026 14:28:59,TK TELKOM MAKASSAR,Wali Kelas,Ya,Belum melakukan tindak lanjut apapun,4,4,4,4,4,4,-,-
5/6/2026 14:35:05,TK TELKOM PADANG,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru",4,5,4,4,4,5,"pernyataan orang tua, serta pembentukan karakter anak menjadi lebih rinci dan jadi acuan untuk evaluasi bagi guru",
5/6/2026 14:36:57,TK TELKOM PADANG,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru",5,4,4,4,4,4,Adanya peryataan orang tua tentang kekurangan dan kelebihan tentang anaknya dan kita sebagai guru bisa  introspeksi diri juga dari masukan yang diberikan oleh orang tua,Sudah bagus
5/7/2026 11:57:20,SMK TELKOM BANJARBARU,Guru Mata Pelajaran,Ya,"Mengecek daftar siswa ""Perlu Perhatian""",4,4,3,3,2,2,-,"web nya tolong dibikin yang mudah, itu agak susah di gunain. kek harus back back lagi, terus harus di refresh dulu baru keluar part mana yg sudah di isi, padahal udah di isi semua tbtb ga ada. web nya aja biar gampang dipake. mengingat saya ngisi 14 kelas. "
5/7/2026 11:57:52,SMK TELKOM BANJARBARU,Wakasek,Sudah Baca Sebagian,"Mengecek daftar siswa ""Perlu Perhatian"", Menghubungi orang tua siswa yang perlu perhatian",4,4,4,4,5,5,Menyampaikan secara detail informasi keadaan siswa,Sudah cukup baik
5/7/2026 11:58:40,SMK TELKOM BANJARBARU,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Belum melakukan tindak lanjut apapun",4,5,5,4,5,5,Adanya top student dan siswa yang perlu perhatian. Disajikan deskripsi masing2 anak,Adanya segmen pertanyaan tentang hubungan anak dengan orangtua atau terkait dengan dukungan orang tua terhadap cita cita anak. Intinya ad segmen khusus tentang anak dan ortu melalui pertanyaan. Karena hubungan tersebut berdampak pada karakter anak
5/7/2026 11:58:55,SMK TELKOM PURWOKERTO,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru",4,5,4,3,3,5,Dapat memberikan gambaran kondisi dari berbagi sisi ,
5/7/2026 12:01:36,SMK TELKOM PURWOKERTO,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Belum melakukan tindak lanjut apapun",4,4,3,4,4,4,Detail,Presensi
5/7/2026 12:01:37,SMP TELKOM MAKASSAR,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian""",4,4,4,4,4,4,Memberikan deskripsi terkait dengan karakter anak wali,
5/7/2026 12:02:10,SMK TELKOM BANJARBARU,Wali Kelas,Baru Melihat Ringkasannya Saja,"Mengecek daftar siswa ""Perlu Perhatian""",3,3,3,3,3,5,membaca pesan dan harapan serta kritik ank ank,pengisian ygterlalu byk 
5/7/2026 12:02:40,SMK TELKOM BANJARBARU,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian""",2,3,3,3,3,4,"Laporan ringkas dlm bntuk data, namun perlu dijelaskan",Jika bisa dibuat lebih simple lagi
5/7/2026 12:04:36,SMK TELKOM PURWOKERTO,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menghubungi orang tua siswa yang perlu perhatian",4,5,5,4,4,5,-,-
5/7/2026 12:06:04,SMK TELKOM BANJARBARU,Guru Mata Pelajaran,Sudah Baca Sebagian,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",4,4,4,4,4,4,Berbasis data,Keakuratan instrumen dan teknik pengambilan data
5/7/2026 12:08:21,SMP TELKOM PADANG (listing history),Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru, Menghubungi orang tua siswa yang perlu perhatian",5,5,5,5,5,5,Bisa mendeksi lansung karakter siswa dg rinci,Tidak
5/7/2026 12:08:39,SMK TELKOM BANJARBARU,Guru Mata Pelajaran,Sudah Baca Sebagian,Menyesuaikan pendekatan pembelajaran di kelas,3,3,2,3,3,2,-,"dibuat lebih simpel dan sosialisasi secara tatap maya/langsung, bukan via chat WhatsApp"
5/7/2026 12:09:37,SMK TELKOM BANJARBARU,Wali Kelas,Belum Sempat Membaca,Belum melakukan tindak lanjut apapun,2,2,2,2,2,2,tidak jelas,-
5/7/2026 12:11:17,SMK TELKOM PURWOKERTO,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menghubungi orang tua siswa yang perlu perhatian",5,4,5,4,5,5,Feedback tidak hanya diisi oleh walas tapi juga pesdik dan walimurid,Catatan walikelas 
5/7/2026 12:12:09,SMK TELKOM PURWOKERTO,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru, Menyesuaikan pendekatan pembelajaran di kelas",5,5,4,5,5,5,"Dari sisi keterbacaan laporan mudah dipahami, dan rekomendasi tindak lanjutnya juga ada ","Sementara karena dari saya masih dalam proses memahami juga , jadi belum ada "
5/7/2026 12:16:36,SMK TELKOM BANJARBARU,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",5,5,5,5,3,5,Mengenai refleksi mereka terhadap sekolah dan guru,"Saya rasa sudah cukup bagus semuanya, namun untuk saran dan rekomendasi mungkin bisa dipetakan atau dibuat pilihan. Misal berupa kegiatan, pembelajaran biar lebih enak direkap dan data"
5/7/2026 12:20:14,SMP TELKOM PURWOKERTO,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",4,4,4,3,4,4,Dapat membantu perkembangan peserta didik.,
5/7/2026 12:20:42,SMK TELKOM PURWOKERTO,Guru Mata Pelajaran,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menghubungi orang tua siswa yang perlu perhatian, Menyesuaikan pendekatan pembelajaran di kelas",3,3,3,3,3,3,-,-
5/7/2026 12:22:58,SMK TELKOM PURWOKERTO,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menghubungi orang tua siswa yang perlu perhatian, Menyesuaikan pendekatan pembelajaran di kelas",4,4,4,4,5,5,Adanya feedback dari siswa dan oeang tua secara jujur.,Tidak.
5/7/2026 12:24:36,SMP TELKOM PURWOKERTO,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian""",4,4,4,4,4,4,Praktis dan cepat dalam pengisian,-
5/7/2026 12:24:55,SMP TELKOM PADANG (listing history),Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menghubungi orang tua siswa yang perlu perhatian, Menyesuaikan pendekatan pembelajaran di kelas",5,5,5,5,5,5,"Wali kelas bisa melihat dengan detail apa-apa saja harapan, kesan dan yang ingin disampaikan oleh siswa dengan jujur.",-
5/7/2026 13:01:55,SMK TELKOM BANJARBARU,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",5,5,4,3,3,3,"Ada isi hati siswa yang tercurahkan pada laporan ini, hal yang sangat penting bagi guru untuk menjadi bahan evalusi",rekomendasi tindak lanjut untuk setiap siswa
5/7/2026 14:15:50,SMK TELKOM LAMPUNG,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru",5,5,4,5,5,5,Lengkap dan jelas,Komentar orang tua
5/7/2026 14:16:58,SMP TELKOM MAKASSAR,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Belum melakukan tindak lanjut apapun",4,3,4,3,5,5,Top 5 siswa yg butuh perhatian,Deskripsi siswa yg butuh perhatian agar dapat ditindak lanjut dengan tepat oleh guru dan orang tua.
5/7/2026 14:19:35,SMP TELKOM MAKASSAR,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",4,5,4,4,5,5,Top 5 yang butuh perhatian ,
5/7/2026 14:25:28,SMP TELKOM MAKASSAR,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru, Menghubungi orang tua siswa yang perlu perhatian, Menyesuaikan pendekatan pembelajaran di kelas",4,4,4,2,3,5,Saya bisa melihat siswa yang perlu perhatian,
5/7/2026 14:48:08,SMK TELKOM 1 MEDAN,Guru Mata Pelajaran,Sudah Baca Sebagian,"Mendiskusikan data dengan sesama guru, Menyesuaikan pendekatan pembelajaran di kelas",4,4,3,3,4,4,-,-
5/7/2026 14:51:00,SMK TELKOM JAKARTA,Wali Kelas,Sudah Baca Sebagian,"Mengecek daftar siswa ""Perlu Perhatian""",5,5,5,5,5,5,Memberikan pemahaman bagi  guru siswa dan ortu,-
5/7/2026 14:52:02,SMK TELKOM BANDUNG,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian""",3,3,4,4,4,4,Masih belum menemukan,"Kesimpulan dari Fammi dari 3 data yg dihimpun (walikelas, siswa dan orangtua) "
5/7/2026 14:56:34,SMK TELKOM SIDOARJO,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian""",5,5,4,4,4,4,Sederhana dan mudah,
5/7/2026 14:56:36,SMK TELKOM MAKASSAR,Wali Kelas dan BK,Sudah Baca Sebagian,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru, Menghubungi orang tua siswa yang perlu perhatian",4,4,3,4,4,5,Bahasa yg mudah dipahami,-
5/7/2026 14:57:31,TK TELKOM TERNATE,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian""",4,4,4,3,4,4,Sangat membantu ,Sangat membantu 
5/7/2026 14:58:21,SMP TELKOM MAKASSAR,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menghubungi orang tua siswa yang perlu perhatian",4,4,4,4,4,4,Akses dalam pengisian data lebih mufah baik peserta didik maupun orang tua,Saat ini perlu bagaimana pemetaan lagi pada peserta didik perlu perhatian agar lebih efektif lagi ke depan.
5/7/2026 15:01:31,SMK TELKOM JAKARTA,Wali Kelas,Sudah Baca Sebagian,"Menyesuaikan pendekatan pembelajaran di kelas, Belum melakukan tindak lanjut apapun",2,3,3,3,3,3,Tidak ada,Gasil output yg lebih ringkas
5/7/2026 15:02:18,SMK TELKOM JAKARTA,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",3,5,4,4,4,5,Lengkap dan detail,Saran tindak lanjut untuk tiap siswa
5/7/2026 15:02:48,SMK TELKOM MAKASSAR,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian""",4,4,3,3,5,5,-,-
5/7/2026 15:07:20,TK TELKOM PADANG,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru, Menghubungi orang tua siswa yang perlu perhatian, Menyesuaikan pendekatan pembelajaran di kelas",4,4,4,4,4,5,memahami nya mudah,
5/7/2026 15:09:46,SMP TELKOM MAKASSAR,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian""",4,4,3,3,4,5,Saya mengetahui hal yang diinginkan orang tua ,Lebih responsif lagi kepada orang tua siswa 
5/7/2026 15:10:54,SD TELKOM BATAM,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Mendiskusikan data dengan sesama guru, Menyesuaikan pendekatan pembelajaran di kelas",4,4,4,4,4,5,Jelas,-
5/7/2026 15:11:47,SMP TELKOM MAKASSAR,Wali Kelas,Sudah Baca Sebagian,"Mengecek daftar siswa ""Perlu Perhatian""",3,3,3,3,3,3,-,-
5/7/2026 15:16:51,SMK TELKOM 1 MEDAN,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",2,3,4,4,2,4,lebih mengenal karakter anak,"sama seperti yg sudah disampaikan saat diskusi, butuhnya akun sehingga dapat memantau pengisian guru, kemudian akan lebih baik jika ditetapkan minimal berapa indikator yang harus diisi, karna kalau 1 indikator  saja dari satu empati akan kurang valid"
5/7/2026 15:17:43,TK TELKOM PADANG,Wali Kelas,Ya,Menyesuaikan pendekatan pembelajaran di kelas,4,5,5,5,5,5,Memudahkan untuk mengisi karakter yg anak dan mengetahui karakter anak ketika dirumah bersama orangtua ,Kebiasaan yg paling rutin dilakukan anak bersama orangtua untuk melihat kebersamaan orangtua dan anak ketika mengulang kegiatan pembelajaran dirumah
5/7/2026 15:39:08,SD TELKOM BATAM,Wali Kelas,Ya,Menyesuaikan pendekatan pembelajaran di kelas,4,4,3,3,4,5,-,-
5/7/2026 15:40:13,SD TELKOM BATAM,Wali Kelas,Ya,Mendiskusikan data dengan sesama guru,4,5,4,5,5,5,Adanya peningkatan karakter baik anak,yg d perbaiki menerima dan mencerna setiap pengaduan anak ke guru
5/7/2026 15:46:31,TK TELKOM PADANG,Wali Kelas,Ya,"Mengecek daftar siswa ""Perlu Perhatian"", Menyesuaikan pendekatan pembelajaran di kelas",5,5,5,5,5,5,Menjadi lebih terdata anak yang diperhatikan orangtua dan mana yang tidak diperhatikan orangtua. Sebab melalui hasil refleksi orangtua bisa dilihat keselarasan hasil dari guru kelas dan orangtua,Mohon ditambahkan pertanyaan apakah orangtua ada menanyakan apa saja aktivitas anak disekolah kepada anak? Atau melakukan refleksi ulang kepada anak dirumah untuk mengembangkan bahasa anak. Sebab aktivitas kegiatan telah di sampaikan di group. Namun banyak orangtua yang sibuk sehingga tempat anak menyampaikan apa yang dipelajari di kelas tidak tersalurkan. 
5/7/2026 15:49:38,SMP TELKOM MAKASSAR,Wali Kelas,Sudah Baca Sebagian,"Mengecek daftar siswa ""Perlu Perhatian"", Menghubungi orang tua siswa yang perlu perhatian",4,4,2,2,4,3,"Lumayan Lengkap, bisa menjadi Acuan saya untuk pelaporan Ke Orang Tua saat ada Parent Teache Confer",Sepertinya Untuk pengisian dari Orang Tua mengalami kesulitan terkait kesibukan dan Kesiapan orang Tua peserta didik
